week;ccfi;scfi
2013-W1;;1270
2013-W2;;1418
2013-W3;;1349
2013-W4;;1326
2013-W5;;1316
2013-W6;;1301
2013-W7;;1199
2013-W8;;1104
2013-W9;;999
2013-W10;;1423
2013-W11;;1254
2013-W12;;1140
2013-W13;;1070
2013-W14;;940
2013-W15;;875
2013-W16;;818
2013-W17;;796
2013-W18;;731
2013-W19;;668
2013-W20;;641
2013-W21;;598
2013-W22;;558
2013-W23;;533
2013-W24;;514
2013-W25;;1409
2013-W26;;1346
2013-W27;;1290
2013-W28;;1240
2013-W29;;1360
2013-W30;;1501
2013-W31;;1436
2013-W32;;1334
2013-W33;;1238
2013-W34;;1183
2013-W35;;1073
2013-W36;;966
2013-W37;;875
2013-W38;;765
2013-W39;;765
2013-W40;;675
2013-W41;;661
2013-W42;;670
2013-W43;;1423
2013-W44;;1320
2013-W45;;1213
2013-W46;;1078
2013-W47;;1000
2013-W48;;987
2013-W49;;1586
2013-W50;;1526
2013-W51;;1511
2013-W52;;
2014-W1;1457;1765
2014-W2;1507;1713
2014-W3;1577;1641
2014-W4;1611;1598
2014-W5;1647;1580
2014-W6;1674;1567
2014-W7;1696;1379
2014-W8;1686;1233
2014-W9;1594;1110
2014-W10;1541;988
2014-W11;1498;888
2014-W12;1453;843
2014-W13;1440;1214
2014-W14;1393;1242
2014-W15;1412;1156
2014-W16;1417;1077
2014-W17;1405;1084
2014-W18;1378;1305
2014-W19;1368;1401
2014-W20;1403;1287
2014-W21;1408;1188
2014-W22;1430;1155
2014-W23;1433;1183
2014-W24;1452;1202
2014-W25;1438;1120
2014-W26;1433;1106
2014-W27;1418;1416
2014-W28;1466;1302
2014-W29;1440;1230
2014-W30;1445;1203
2014-W31;1445;1455
2014-W32;1460;1341
2014-W33;1469.93;1198
2014-W34;1460;1106
2014-W35;1466;1083
2014-W36;1448;1129
2014-W37;1475;1055
2014-W38;1456;908
2014-W39;1422;822
2014-W40;1383;822
2014-W41;1383;738
2014-W42;1309;705
2014-W43;1243;697
2014-W44;1216.2;1312
2014-W45;1183;1175
2014-W46;1278;934
2014-W47;1264;809
2014-W48;1263;739
2014-W49;1264;719
2014-W50;1214;1353
